iter	Accuracy	MultiClass
0	0.609552634	1.08718043
1	0.6411615595	1.077942821
2	0.6521260922	1.068654777
3	0.6394613118	1.059388443
4	0.6428845389	1.050465938
5	0.6526813053	1.042345394
6	0.659628429	1.034669394
7	0.6571857322	1.027078659
8	0.6536520935	1.01943276
9	0.6525903782	1.011795875
10	0.6508868831	1.004714023
11	0.6561370065	0.9976477073
12	0.6566694878	0.991396295
13	0.6580829433	0.9846304264
14	0.6554789897	0.9784160583
15	0.6546077578	0.972971837
16	0.6591381638	0.9672655321
17	0.65846391	0.9618288437
18	0.6626393285	0.9565444885
19	0.6656015171	0.9505419254
20	0.6662887604	0.9454368531
21	0.6654305181	0.9406719131
22	0.666627511	0.9355459132
23	0.6678407409	0.930458287
24	0.6704609315	0.9261961933
25	0.6699446871	0.9219252441
26	0.668550716	0.9172046429
27	0.6704771685	0.9131053456
28	0.6725778673	0.9088012143
29	0.673284595	0.9046568742
30	0.6736395826	0.9003478343
31	0.6746753187	0.896432431
32	0.6746720713	0.8924944624
33	0.671516152	0.8887527786
34	0.6734328622	0.885232108
35	0.6742975994	0.8816452023
36	0.673936117	0.8778616518
37	0.6739328696	0.8742694576
38	0.6772597879	0.8706713617
39	0.6774340343	0.8676980729
40	0.6783052662	0.8647214375
41	0.6790087466	0.8616957141
42	0.6823259227	0.8583337032
43	0.6819579455	0.8552116471
44	0.6809124672	0.8522997556
45	0.6824774373	0.8493234323
46	0.683509926	0.8465333469
47	0.6835034312	0.8435869773
48	0.683151691	0.8409652102
49	0.6842004168	0.8381043529
50	0.6857686342	0.8356795461
51	0.6864721146	0.8330918273
52	0.6880435794	0.8304518005
53	0.6889213062	0.8280425049
54	0.6896182917	0.8257190335
55	0.6901377835	0.823630729
56	0.6908315216	0.821470047
57	0.6904895236	0.8192125797
58	0.6906605226	0.816620201
59	0.6925739855	0.8143064287
60	0.6937937102	0.8120922236
61	0.6929127361	0.8097618094
62	0.6944906957	0.8076874599
63	0.6941357082	0.8056211783
64	0.6953586803	0.803684155
65	0.6964041586	0.8015706028
66	0.6972786379	0.799472488
67	0.6963976638	0.7972639676
68	0.6976238833	0.7952507334
69	0.6976271307	0.7935125822
70	0.6972688957	0.791947099
71	0.6983241162	0.7897532115
72	0.6984821256	0.7879369901
73	0.6991823585	0.7857739712
74	0.6995373461	0.7839488628
75	0.7009183276	0.7819569167
76	0.7009313172	0.7800657129
77	0.7009248224	0.7782331945
78	0.7026575441	0.7762278551
79	0.7031932728	0.7741862005
