iter	Passed	Remaining
0	6	12313
1	13	13348
2	21	14233
3	28	14274
4	36	14567
5	43	14488
6	51	14572
7	58	14556
8	65	14585
9	73	14597
10	81	14649
11	88	14644
12	95	14622
13	102	14601
14	109	14522
15	116	14504
16	124	14473
17	131	14437
18	138	14432
19	145	14444
20	153	14437
21	160	14421
22	167	14395
23	174	14378
24	182	14396
25	189	14356
26	196	14347
27	203	14318
28	210	14292
29	217	14283
30	224	14253
31	231	14238
32	238	14245
33	246	14240
34	253	14224
35	260	14223
36	267	14192
37	274	14171
38	281	14176
39	289	14164
40	296	14157
41	303	14169
42	310	14147
43	317	14124
44	324	14112
45	332	14135
46	340	14128
47	347	14129
48	354	14122
49	361	14111
50	368	14092
51	375	14085
52	382	14066
53	389	14052
54	397	14047
55	404	14034
56	411	14027
57	418	14026
58	426	14015
59	433	14002
60	440	13989
61	446	13967
62	453	13951
63	460	13936
64	467	13922
65	475	13926
66	482	13931
67	489	13916
68	497	13914
69	504	13915
70	512	13921
71	519	13906
72	526	13891
73	533	13880
74	540	13881
75	548	13876
76	554	13858
77	561	13842
78	568	13825
79	576	13824
80	583	13815
81	590	13812
82	597	13807
83	605	13803
84	612	13808
85	620	13800
86	627	13797
87	634	13789
88	642	13785
89	648	13770
90	655	13758
91	662	13741
92	669	13737
93	677	13732
94	684	13730
95	692	13728
96	700	13738
97	707	13729
98	714	13723
99	721	13714
100	729	13711
101	737	13714
102	744	13703
103	751	13698
104	758	13688
105	765	13669
106	772	13659
107	778	13642
108	785	13622
109	792	13612
110	798	13594
111	805	13580
112	812	13570
113	819	13554
114	826	13540
115	832	13524
116	839	13517
117	846	13508
118	854	13506
119	861	13498
120	869	13507
121	876	13493
122	899	13724
123	906	13715
124	913	13706
125	921	13698
126	929	13715
127	937	13712
128	944	13699
129	952	13694
130	959	13692
131	967	13694
132	975	13690
133	982	13680
134	990	13681
135	997	13668
136	1005	13666
137	1012	13664
138	1036	13872
139	1043	13861
140	1051	13864
141	1066	13954
142	1074	13953
143	1081	13936
144	1088	13927
145	1095	13910
146	1102	13897
147	1109	13881
148	1116	13868
149	1123	13856
150	1131	13855
151	1139	13848
152	1145	13833
153	1153	13825
154	1160	13809
155	1167	13797
156	1174	13781
157	1180	13767
158	1187	13753
159	1194	13738
160	1202	13730
161	1208	13711
162	1215	13700
163	1222	13687
164	1230	13683
165	1237	13672
166	1244	13655
167	1250	13641
168	1257	13625
169	1264	13615
170	1271	13601
171	1278	13588
172	1285	13576
173	1292	13559
174	1299	13556
175	1307	13552
176	1314	13541
177	1321	13529
178	1328	13519
179	1335	13503
180	1342	13488
181	1348	13474
182	1355	13461
183	1362	13452
184	1369	13438
185	1376	13421
186	1383	13409
187	1390	13399
188	1397	13389
189	1404	13380
190	1411	13368
191	1418	13358
192	1425	13347
193	1432	13335
194	1439	13321
195	1446	13310
196	1453	13301
197	1460	13287
198	1466	13275
199	1474	13269
200	1481	13263
201	1489	13253
202	1496	13245
203	1502	13230
204	1509	13214
205	1516	13208
206	1523	13196
207	1531	13195
208	1539	13191
209	1546	13181
210	1553	13170
211	1560	13162
212	1567	13151
213	1574	13140
214	1581	13128
215	1588	13115
216	1594	13104
217	1601	13092
218	1609	13085
219	1615	13074
220	1622	13063
221	1629	13051
222	1636	13041
223	1643	13028
224	1649	13016
225	1657	13010
226	1664	12999
227	1671	12990
228	1678	12980
229	1685	12971
230	1693	12967
231	1700	12958
232	1708	12953
233	1715	12945
234	1722	12937
235	1729	12925
236	1735	12911
237	1743	12904
238	1750	12896
239	1757	12887
240	1764	12875
241	1771	12867
242	1778	12859
243	1785	12848
244	1792	12838
245	1799	12828
246	1806	12824
247	1813	12813
248	1821	12806
249	1828	12796
250	1835	12787
251	1842	12778
252	1849	12770
253	1857	12765
254	1863	12751
255	1869	12739
256	1876	12729
257	1884	12720
258	1890	12708
259	1897	12700
260	1904	12690
261	1911	12679
262	1918	12669
263	1925	12659
264	1933	12657
265	1941	12657
266	1948	12647
267	1955	12640
268	1962	12630
269	1969	12621
270	1976	12612
271	1983	12601
272	1990	12593
273	1998	12585
274	2005	12578
275	2012	12570
276	2020	12566
277	2027	12560
278	2035	12556
279	2043	12550
280	2049	12540
281	2057	12533
282	2065	12528
283	2072	12522
284	2079	12514
285	2086	12506
286	2093	12494
287	2100	12485
288	2107	12477
289	2115	12474
290	2123	12469
291	2130	12463
292	2138	12457
293	2146	12453
294	2153	12447
295	2160	12439
296	2167	12430
297	2175	12422
298	2182	12417
299	2190	12412
300	2197	12406
301	2206	12405
302	2213	12398
303	2221	12395
304	2229	12389
305	2236	12383
306	2243	12373
307	2251	12366
308	2257	12356
309	2265	12350
310	2272	12341
311	2279	12332
312	2286	12323
313	2293	12314
314	2301	12308
315	2308	12301
316	2315	12293
317	2323	12290
318	2330	12282
319	2338	12274
320	2345	12266
321	2352	12259
322	2359	12251
323	2366	12242
324	2374	12235
325	2381	12227
326	2388	12218
327	2395	12210
328	2402	12201
329	2409	12192
330	2416	12183
331	2423	12176
332	2430	12168
333	2438	12161
334	2445	12152
335	2452	12145
336	2459	12136
337	2466	12130
338	2474	12122
339	2481	12113
340	2487	12103
341	2494	12094
342	2501	12086
343	2508	12076
344	2515	12067
345	2522	12056
346	2529	12050
347	2535	12037
348	2543	12030
349	2550	12021
350	2556	12012
351	2563	12001
352	2570	11991
353	2577	11982
354	2584	11976
355	2591	11968
356	2598	11960
357	2605	11952
358	2612	11943
359	2619	11934
360	2626	11924
361	2633	11914
362	2639	11904
363	2647	11899
364	2655	11893
365	2662	11886
366	2670	11881
367	2677	11874
368	2684	11866
369	2692	11861
370	2699	11854
371	2708	11852
372	2715	11845
373	2723	11838
374	2730	11832
375	2739	11830
376	2746	11824
377	2754	11818
378	2762	11814
379	2769	11807
380	2777	11801
381	2784	11794
382	2791	11787
383	2799	11779
384	2806	11773
385	2814	11767
386	2821	11761
387	2830	11757
388	2837	11751
389	2845	11745
390	2854	11746
391	2863	11745
392	2871	11742
393	2879	11738
394	2888	11735
395	2895	11727
396	2903	11722
397	2910	11715
398	2917	11708
399	2925	11700
400	2932	11694
401	2940	11688
402	2948	11682
403	2955	11674
404	2962	11668
405	2969	11658
406	2976	11651
407	2983	11642
408	2991	11635
409	2998	11626
410	3005	11619
411	3012	11611
412	3019	11604
413	3026	11594
414	3033	11586
415	3041	11580
416	3048	11573
417	3056	11566
418	3062	11557
419	3069	11547
420	3077	11541
421	3085	11535
422	3092	11527
423	3099	11518
424	3106	11511
425	3113	11503
426	3121	11497
427	3128	11490
428	3136	11484
429	3143	11476
430	3150	11468
431	3157	11460
432	3164	11450
433	3171	11443
434	3178	11435
435	3185	11428
436	3193	11420
437	3200	11413
438	3207	11406
439	3215	11400
440	3222	11393
441	3231	11389
442	3238	11381
443	3254	11404
444	3261	11396
445	3268	11389
446	3276	11384
447	3283	11376
448	3291	11368
449	3298	11362
450	3306	11356
451	3313	11349
452	3321	11343
453	3328	11335
454	3336	11330
455	3344	11325
456	3352	11319
457	3360	11313
458	3368	11309
459	3375	11302
460	3383	11295
461	3390	11288
462	3399	11283
463	3406	11276
464	3413	11269
465	3421	11262
466	3428	11255
467	3437	11251
468	3444	11245
469	3451	11237
470	3459	11229
471	3466	11222
472	3474	11215
473	3481	11207
474	3488	11200
475	3496	11194
476	3504	11189
477	3512	11184
478	3519	11176
479	3527	11170
480	3535	11163
481	3541	11154
482	3549	11148
483	3557	11142
484	3565	11136
485	3578	11147
486	3585	11139
487	3593	11132
488	3600	11124
489	3607	11116
490	3614	11108
491	3621	11099
492	3628	11092
493	3636	11085
494	3644	11080
495	3653	11076
496	3661	11072
497	3668	11065
498	3676	11059
499	3683	11050
500	3690	11041
501	3697	11033
502	3704	11025
503	3712	11018
504	3719	11010
505	3727	11004
506	3733	10994
507	3740	10986
508	3747	10977
509	3754	10969
510	3761	10961
511	3768	10951
512	3775	10942
513	3781	10933
514	3788	10924
515	3795	10916
516	3803	10909
517	3810	10900
518	3816	10891
519	3823	10882
520	3830	10873
521	3836	10863
522	3843	10854
523	3850	10846
524	3857	10837
525	3864	10828
526	3870	10818
527	3877	10809
528	3884	10801
529	3891	10792
530	3898	10784
531	3905	10776
532	3912	10767
533	3918	10758
534	3925	10750
535	3932	10741
536	3941	10738
537	3948	10730
538	3962	10740
539	3969	10731
540	3977	10726
541	3983	10716
542	3990	10707
543	3997	10699
544	4004	10690
545	4010	10681
546	4017	10672
547	4024	10664
548	4031	10654
549	4038	10646
550	4044	10637
551	4052	10631
552	4059	10622
553	4066	10613
554	4073	10604
555	4079	10595
556	4087	10588
557	4094	10580
558	4101	10571
559	4107	10562
560	4114	10553
561	4120	10544
562	4127	10536
563	4135	10528
564	4141	10519
565	4148	10510
566	4155	10501
567	4174	10525
568	4182	10517
569	4189	10509
570	4195	10499
571	4202	10490
572	4208	10481
573	4215	10473
574	4222	10465
575	4229	10457
576	4236	10448
577	4243	10439
578	4249	10430
579	4256	10421
580	4263	10412
581	4270	10404
582	4276	10395
583	4283	10386
584	4290	10377
585	4297	10369
586	4303	10359
587	4310	10350
588	4317	10341
589	4323	10332
590	4330	10324
591	4337	10315
592	4343	10306
593	4350	10298
594	4357	10289
595	4364	10280
596	4370	10271
597	4377	10263
598	4390	10268
599	4397	10261
600	4405	10254
601	4411	10245
602	4418	10235
603	4425	10227
604	4431	10218
605	4438	10210
606	4445	10201
607	4452	10193
608	4459	10184
609	4465	10176
610	4472	10166
611	4478	10156
612	4485	10148
613	4491	10139
614	4498	10130
615	4505	10121
616	4511	10113
617	4518	10104
618	4525	10095
619	4532	10087
620	4538	10078
621	4546	10071
622	4553	10063
623	4559	10054
624	4566	10046
625	4573	10038
626	4580	10031
627	4587	10022
628	4594	10014
629	4601	10006
630	4608	9998
631	4615	9991
632	4622	9982
633	4629	9973
634	4635	9965
635	4642	9956
636	4649	9949
637	4656	9941
638	4663	9932
639	4670	9924
640	4677	9915
641	4683	9907
642	4690	9898
643	4697	9890
644	4703	9881
645	4710	9873
646	4717	9865
647	4724	9857
648	4731	9848
649	4738	9841
650	4745	9832
651	4751	9824
652	4758	9815
653	4764	9806
654	4771	9798
655	4778	9790
656	4786	9783
657	4792	9775
658	4799	9767
659	4806	9759
660	4813	9750
661	4820	9742
662	4827	9734
663	4833	9725
664	4841	9718
665	4848	9711
666	4867	9726
667	4874	9718
668	4881	9710
669	4888	9704
670	4895	9696
671	4903	9690
672	4911	9683
673	4917	9675
674	4925	9667
675	4932	9661
676	4940	9655
677	4947	9647
678	4954	9639
679	4961	9631
680	4968	9623
681	4975	9615
682	4982	9606
683	4988	9598
684	4996	9590
685	5003	9583
686	5010	9575
687	5017	9567
688	5023	9559
689	5030	9550
690	5037	9542
691	5043	9533
692	5050	9525
693	5057	9516
694	5063	9508
695	5070	9499
696	5076	9491
697	5083	9483
698	5090	9474
699	5097	9466
700	5104	9458
701	5111	9450
702	5118	9443
703	5125	9435
704	5132	9427
705	5139	9420
706	5146	9411
707	5154	9405
708	5161	9397
709	5167	9389
710	5174	9381
711	5181	9373
712	5188	9366
713	5195	9357
714	5202	9349
715	5209	9342
716	5217	9335
717	5224	9327
718	5232	9321
719	5238	9313
720	5246	9306
721	5253	9299
722	5260	9291
723	5267	9283
724	5274	9276
725	5281	9268
726	5288	9259
727	5295	9251
728	5302	9244
729	5309	9237
730	5318	9232
731	5325	9224
732	5331	9216
733	5339	9208
734	5345	9200
735	5353	9193
736	5359	9185
737	5367	9177
738	5374	9170
739	5381	9162
740	5388	9155
